EmployeeID,Sum of EnvironmentSatisfaction,JobSatisfaction,ManagerRating,PerformanceID,Sum of RelationshipSatisfaction,Year,Quarter,Month,Day,Sum of SelfRating,Sum of TrainingOpportunitiesTaken,Sum of TrainingOpportunitiesWithinYear,Sum of WorkLifeBalance
005C-E0FB,3,3,3,PR4067,2,2020,Qtr 2,June,17,4,2,1,2
005C-E0FB,4,4,3,PR5070,5,2021,Qtr 2,June,17,3,1,1,5
005C-E0FB,3,4,4,PR6165,5,2022,Qtr 2,June,17,4,0,3,4
00A3-2445,5,2,3,PR2395,4,2018,Qtr 2,June,19,3,0,1,5
00A3-2445,3,2,3,PR5071,2,2021,Qtr 2,June,18,3,0,3,4
00A3-2445,5,2,4,PR1731,5,2017,Qtr 2,June,19,5,0,3,5
00A3-2445,3,3,3,PR703,4,2015,Qtr 2,June,20,3,1,3,2
00A3-2445,5,4,2,PR4068,2,2020,Qtr 2,June,18,3,0,3,2
00A3-2445,4,5,3,PR1165,4,2016,Qtr 2,June,19,4,2,2,5
00A3-2445,4,5,4,PR6167,5,2022,Qtr 2,June,18,4,2,1,4
00A3-2445,4,5,5,PR3168,3,2019,Qtr 2,June,19,5,1,1,3
00B0-F199,5,2,4,PR674,3,2015,Qtr 2,May,22,5,0,2,3
00B0-F199,3,3,4,PR1123,5,2016,Qtr 2,May,21,5,2,3,5
00B0-F199,4,3,4,PR1678,4,2017,Qtr 2,May,21,4,0,2,2
00B0-F199,5,3,4,PR4989,2,2021,Qtr 2,May,20,5,3,1,4
00B0-F199,1,3,4,PR6073,4,2022,Qtr 2,May,20,4,2,3,2
00B0-F199,3,4,2,PR2339,4,2018,Qtr 2,May,21,3,1,2,3
00B0-F199,3,4,3,PR3989,3,2020,Qtr 2,May,20,4,1,1,4
00B0-F199,5,4,4,PR3099,3,2019,Qtr 2,May,21,4,3,3,5
00B0-F199,3,5,2,PR342,3,2014,Qtr 2,May,22,3,3,1,2
00D4-DD53,3,2,3,PR2876,5,2019,Qtr 1,February,28,3,0,2,5
00D4-DD53,3,3,2,PR63,4,2013,Qtr 1,March,1,3,1,1,3
00D4-DD53,5,4,2,PR3730,3,2020,Qtr 1,February,28,3,1,2,3
00D4-DD53,5,4,3,PR2141,4,2018,Qtr 1,February,28,4,2,3,2
00D4-DD53,5,4,4,PR4708,5,2021,Qtr 1,February,27,4,0,3,2
00D4-DD53,3,4,4,PR5773,5,2022,Qtr 1,February,27,4,0,3,3
00D4-DD53,5,4,4,PR958,5,2016,Qtr 1,February,29,4,1,1,5
00D4-DD53,5,4,5,PR1503,2,2017,Qtr 1,February,28,5,1,2,4
00D4-DD53,4,5,2,PR226,2,2014,Qtr 1,March,1,3,1,3,5
00D4-DD53,3,5,4,PR531,3,2015,Qtr 1,March,1,5,2,3,4
00E4-3D60,3,2,4,PR584,4,2015,Qtr 1,March,30,4,0,1,5
00E4-3D60,1,2,4,PR5887,2,2022,Qtr 1,March,28,4,0,3,2
00E4-3D60,5,3,3,PR1566,4,2017,Qtr 1,March,29,4,2,3,4
00E4-3D60,4,3,3,PR2216,4,2018,Qtr 1,March,29,4,0,1,4
00E4-3D60,5,3,3,PR4813,3,2021,Qtr 1,March,28,4,0,3,3
00E4-3D60,3,3,4,PR1020,5,2016,Qtr 1,March,29,5,0,3,3
00E4-3D60,5,4,3,PR3824,5,2020,Qtr 1,March,28,4,0,3,3
00E4-3D60,3,5,4,PR268,2,2014,Qtr 1,March,30,4,3,3,2
00E4-3D60,5,5,4,PR2959,5,2019,Qtr 1,March,29,4,2,2,4
0145-DBFC,5,3,2,PR1946,3,2017,Qtr 4,November,19,3,0,3,3
0145-DBFC,3,4,2,PR1322,3,2016,Qtr 4,November,19,3,0,2,2
0145-DBFC,5,4,4,PR807,3,2015,Qtr 4,November,20,5,1,3,4
